dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.993153,0.999977,2.286230,0.074599,-0.562913,1.976598,0.006587
0.020000,1.994541,0.999986,2.287618,0.064131,-0.523381,1.976598,0.005250
0.020000,1.995726,0.999991,2.288803,0.054454,-0.483849,1.976598,0.004108
0.020000,1.996727,0.999995,2.289804,0.045568,-0.444317,1.976598,0.003146
0.020000,1.997557,0.999997,2.290634,0.037472,-0.404785,1.976598,0.002347
0.020000,1.998233,0.999999,2.291310,0.030167,-0.365253,1.976598,0.001697
0.020000,1.998772,0.999999,2.291849,0.023652,-0.325721,1.976598,0.001180
0.020000,1.999187,1.000000,2.292264,0.017929,-0.286189,1.976598,0.000780
0.020000,1.999497,1.000000,2.292574,0.012995,-0.246657,1.976598,0.000483
0.020000,1.999715,1.000000,2.292792,0.008853,-0.207125,1.976598,0.000273
0.020000,1.999859,1.000000,2.292936,0.005501,-0.167593,1.976598,0.000135
0.020000,1.999943,1.000000,2.293020,0.002940,-0.128061,1.976598,0.000054
0.020000,1.999985,1.000000,2.293061,0.001169,-0.088529,1.976598,0.000015
0.020000,1.999998,1.000000,2.293075,0.000189,-0.048998,1.976598,0.000002
0.020000,2.000000,1.000000,2.293077,0.000000,-0.009466,1.976598,0.000000
0.020000,2.000000,1.000000,2.293077,0.000000,0.000000,0.473278,0.000000
