dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.438270,1.171252,1.710757,1.170414,-0.905871,-1.413789,0.433563
0.020000,1.459246,1.180769,1.733792,1.151734,-0.933982,-1.405519,0.418242
0.020000,1.480014,1.189810,1.756442,1.132495,-0.961952,-1.398528,0.402886
0.020000,1.500552,1.198378,1.778696,1.112705,-0.989516,-1.378217,0.387532
0.020000,1.520842,1.206479,1.800543,1.092377,-1.016388,-1.343594,0.372215
0.020000,1.540864,1.214121,1.821974,1.071532,-1.042263,-1.293733,0.356971
0.020000,1.560598,1.221312,1.842977,1.050171,-1.068056,-1.289649,0.341834
0.020000,1.580026,1.228061,1.863544,1.028337,-1.091673,-1.180857,0.326836
0.020000,1.599129,1.234379,1.883665,1.006043,-1.114709,-1.151794,0.312009
0.020000,1.617889,1.240279,1.903331,0.983318,-1.136238,-1.076456,0.297380
0.020000,1.636290,1.245774,1.922535,0.960184,-1.156719,-1.024066,0.282977
0.020000,1.654315,1.250878,1.941269,0.936679,-1.175229,-0.925455,0.268826
0.020000,1.671949,1.255605,1.959525,0.912821,-1.192888,-0.882983,0.254950
0.020000,1.689178,1.259970,1.977298,0.888657,-1.208245,-0.767851,0.241370
0.020000,1.705988,1.263990,1.994582,0.864207,-1.222468,-0.711136,0.228105
0.020000,1.722367,1.267681,2.011372,0.839492,-1.235765,-0.664831,0.215172
0.020000,1.738304,1.271059,2.027663,0.814560,-1.246610,-0.542290,0.202587
0.020000,1.753789,1.274142,2.043452,0.789420,-1.256988,-0.518858,0.190363
0.020000,1.768812,1.276944,2.058734,0.764118,-1.265114,-0.406316,0.178511
0.020000,1.783365,1.279484,2.073508,0.738666,-1.272584,-0.373482,0.167042
0.020000,1.797442,1.281777,2.087770,0.713100,-1.278304,-0.286033,0.155963
0.020000,1.811034,1.283840,2.101517,0.687399,-1.285026,-0.336088,0.145282
0.020000,1.824137,1.285689,2.114751,0.661661,-1.286928,-0.095120,0.135004
0.020000,1.836747,1.287338,2.127468,0.635840,-1.291061,-0.206617,0.125132
0.020000,1.848858,1.288803,2.139667,0.609963,-1.293856,-0.139759,0.115671
0.020000,1.860467,1.290099,2.151348,0.584057,-1.295300,-0.072218,0.106622
0.020000,1.871571,1.291239,2.162511,0.558149,-1.295385,-0.004215,0.097987
0.020000,1.882169,1.292237,2.173155,0.532226,-1.296150,-0.038277,0.089766
0.020000,1.892258,1.293105,2.183282,0.506316,-1.295483,0.033332,0.081958
